City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,ancud,-41.8697,-73.8203,12.85,65,68,4.38,CL,1732725138
246,dampit,-8.2116,112.7493,22.43,98,100,1.25,ID,1732725275
247,bejaia,36.7559,5.0843,17.6,88,40,2.06,DZ,1732725277
248,kailua-kona,19.6406,-155.9956,21.98,79,0,2.06,US,1732725278
249,cole harbour,44.6724,-63.4751,7.62,87,75,2.06,CA,1732725279
250,la'ie,21.6477,-157.9253,22.84,84,2,2.68,US,1732725280
251,borzya,50.3833,116.5167,-13.42,76,99,4.07,RU,1732725135
252,qui nhon,13.7667,109.2333,24.16,90,100,9.3,VN,1732725284
253,mae hong son,19.3003,97.9685,21.82,88,69,1.27,TH,1732725286
254,gulf shores,30.246,-87.7008,21.21,76,20,1.79,US,1732725287
255,punta arenas,-53.15,-70.9167,10.06,66,0,5.66,CL,1732725170
256,touros,-5.1989,-35.4608,28.89,57,97,7.62,BR,1732725289
257,tsiombe,-25.3,45.4833,27.81,64,19,1.34,MG,1732725291
258,port moresby,-9.4431,147.1797,26.68,89,40,1.54,PG,1732725292
259,susangerd,31.5608,48.1831,14.45,36,41,7.13,IR,1732725293
260,remire-montjoly,4.9167,-52.2667,31.02,70,20,6.69,GF,1732724998
261,serhetabat,35.2799,62.3438,18.9,28,99,1.64,TM,1732725295
262,kavieng,-2.5744,150.7967,27.89,80,96,5.77,PG,1732725296
263,ust-nera,64.5667,143.2,-21.64,96,100,1.38,RU,1732725298
264,la passe,45.5549,-0.8967,12.91,85,88,3.97,FR,1732725299
265,billings,45.7833,-108.5007,0.87,59,75,5.66,US,1732725001
266,bondo,3.8146,23.6866,24.33,69,93,1.7,CD,1732725301
267,al burayqah,30.4062,19.5739,18.94,52,100,1.54,LY,1732725302
268,batang,-6.4846,110.7083,27.89,79,100,2.41,ID,1732725303
269,brookings,44.3114,-96.7984,-7.0,92,100,2.06,US,1732725305
270,lazaro cardenas,17.9583,-102.2,27.74,70,7,1.47,MX,1732725287
271,rajanpur,29.1035,70.325,21.46,25,0,1.06,PK,1732725307
272,vrontados,38.4089,26.1328,12.92,71,0,1.54,GR,1732725308
273,chibougamau,49.9168,-74.3659,-3.21,93,100,4.12,CA,1732725190
274,jamestown,42.097,-79.2353,5.57,66,100,5.14,US,1732725310
275,sao joao da barra,-21.6403,-41.0511,33.05,77,25,7.43,BR,1732725312
276,malango,-2.9627,119.9001,19.48,99,67,1.0,ID,1732725313
277,vernon,50.2581,-119.2691,-0.04,83,95,1.03,CA,1732725314
278,saint-denis,48.9167,2.3333,14.49,93,100,7.72,FR,1732725315
279,choibalsan,48.0667,114.5,-9.77,70,13,5.94,MN,1732725316
280,kaman,27.65,77.2667,17.71,30,0,1.5,IN,1732725318
281,thompson,55.7435,-97.8558,-9.91,85,75,3.09,CA,1732725319
282,nelson bay,-32.7167,152.15,21.17,98,100,2.24,AU,1732725320
283,acarau,-2.8856,-40.12,30.89,56,100,9.09,BR,1732725321
284,port alfred,-33.5906,26.891,19.54,72,6,4.92,ZA,1732725322
285,lyubinskiy,55.1542,72.6925,-13.88,94,14,2.02,RU,1732725323
286,hasaki,35.7333,140.8333,16.86,55,34,10.42,JP,1732725325
287,micheweni,-4.9667,39.8333,27.11,80,57,4.51,TZ,1732725326
288,aldan,58.6031,125.3894,-22.08,98,100,0.53,RU,1732725327
289,kish,26.5578,54.0194,27.15,69,0,2.06,IR,1732725328
290,juegang,32.3174,121.1855,4.2,55,0,4.49,CN,1732725329
291,al mutayrifi,25.4788,49.5576,23.19,84,2,9.82,SA,1732725330
292,taltal,-25.4,-70.4833,19.11,70,35,3.7,CL,1732725331
293,tarawa,1.419,172.984,29.05,74,20,5.66,KI,1732725333
294,plastun,44.7561,136.2939,-4.41,63,28,4.56,RU,1732725334
